NEAREST_AGENCY_DISTANCE,NEAREST_AGENCY_DUREE,NEAREST_AGENCY_LABEL,ZIP_CODE
186288,120,Montpellier,66300
31783,25.583333333,Rennes,35490
52143,44,Toulouse,31470
45089,47,Strasbourg,67280
81594,64.183333333,Brest,22300
28736,45,Lyon,69630
20051,18,Toulon,83500
118767,77,Melun,89380
44481,33,Metz,54750
99859,71,Lille,2230
15648,17,Lyon,69124
33562,35,Dijon,21440
8023,26,Paris,75011
95110,83,Grenoble,5500
18967,22,Lille,59134
94802,65,Toulouse,82240
101696,70,Clermont-Ferrand,3350
92503,71,Lyon,71520
9848,13,Reims,51450
110799,75,Bordeaux,47200
53878,47.8,Lorient,56510
82790,62,Melun,77171
94062,74,Lyon,42680
119432,103,Grenoble,26310
18229,17,Clermont-Ferrand,63117
106816,81,Melun,10510
111928,71,Dijon,71450
16913,34,Lille,59237
126927,94,Clermont-Ferrand,15580
17713,35,Melun,77850
151035,106,Metz,88640
95061,62,Paris,60150
98407,64,Lyon,39240
18638,16,Toulon,83190
162605,97,Bordeaux,17290
77088,60.05,Brest,29640
96322,75,Metz,55600
72404,50,Caen,14113
91384,83,Dijon,70160
223758,138,Toulouse,64680
35195,33,Dijon,21610
135124,84,Toulouse,47310
59073,59,Bordeaux,33990
74755,49,Nantes,85250
62008,44.216666667,Lorient,56920
66202,49,Lille,62116
156867,114,Bordeaux,24480
121886,82,Caen,50120
33829,29,Avignon,84800
43013,41,Mougins,83440
77021,61.3,Brest,29241
77027,50,Dijon,70140
58179,54,Clermont-Ferrand,63150
126408,90,Melun,18410
106740,95.533333333,Brest,22660
86823,58.216666667,Rennes,53240
15730,33,Lyon,69300
46216,37,Strasbourg,67860
213668,132,Montpellier,66820
51651,41,Bordeaux,33390
104483,80,Donzère (reprise uniquement),7160
45152,35.183333333,Nantes,44370
97136,65,Nantes,85190
14085,32,Paris,78955
66244,46,Montpellier,34340
16667,34,Cergy-Pontoise,95740
24616,42,Paris,77185
53657,45,Rennes,50240
20388,38,Bordeaux,33440
8023,26,Paris,75015
79257,58,Lyon,42480
29222,46,Lille,59250
28684,29.566666667,Rouen,27610
22378,40,Paris,91330
115561,100,Clermont-Ferrand,43810
97332,62,Clermont-Ferrand,3160
52870,38,Tours,37190
123605,76,Clermont-Ferrand,19290
115877,75,Cergy-Pontoise,80480
60677,42,Lille,62470
8550,8.85,Lorient,56530
90826,68,Toulouse,11270
22754,40,Paris,94510
193321,113,Montpellier,66690
80066,58,Strasbourg,68160
86512,56,Tours,45190
57493,43.766666667,Rouen,27930
110448,65.733333333,Tours,72650
64013,45.333333333,Rennes,35114
5641,7,Aix-en-Provence,13320
40172,31.633333333,Tours,41190
129224,85,Nantes,85360
11226,29,Lille,59260
8280,13.516666667,Lorient,56600
45316,37,Dijon,39290
130806,82,Bordeaux,24350
37903,29,Lille,59167
81099,55,Dijon,70150
45768,44,Donzère (reprise uniquement),7000
70839,54,Lille,59570
24374,20,Lille,62141
85145,68,Lille,80630
192134,113,Tours,79370
12846,11,Caen,14200
35428,26,Montpellier,30470
48023,38,Strasbourg,67680
48130,63,Cergy-Pontoise,60560
153216,100,Bordeaux,40190
113491,68,Reims,10180
62741,43,Lille,62260
135862,83.583333333,Rennes,72140
64108,52.516666667,Nantes,44560
71561,61,Nice,6260
43269,28,Strasbourg,67930
11729,11,Aix-en-Provence,13540
99359,62.5,Rennes,22960
85452,65,Dijon,71540
30699,28.3,Nantes,44220
103919,71,Aix-en-Provence,4160
162060,90,Dijon,25700
176657,104,Dijon,90100
129599,76,Strasbourg,68680
17696,12,Metz,57360
93310,78,Donzère (reprise uniquement),7570
175088,101,Dijon,90120
98395,80.5,Caen,61140
122133,84,Lille,62650
75460,56,Lyon,42390
25717,16,Clermont-Ferrand,63114
105776,69,Bordeaux,16440
81140,58,Aix-en-Provence,4300
41496,26,Reims,51170
75780,43,Annecy,74700
9926,11,Avignon,30400
34904,33,Grenoble,38880
71375,51,Toulouse,31220
120953,76.033333333,Caen,61550
20807,38,Paris,93330
98775,66,Rouen,80570
206496,114,Clermont-Ferrand,19240
4472,7,Strasbourg,67300
240457,166,Toulouse,64440
74091,76,Donzère (reprise uniquement),26340
87998,62,Toulouse,9130
135582,77,Bordeaux,17430
54766,41,Donzère (reprise uniquement),26120
63637,55.633333333,Brest,29550
113946,72,Lille,62730
24718,23,Bordeaux,33850
96602,69,Toulouse,9160
24128,26,Lille,59194
164075,97,Rouen,62520
107594,104,Toulouse,81260
36473,31,Caen,14190
109408,84.5,Rouen,27250
123531,99,Nantes,79240
80107,60,Lyon,1430
39501,27,Dijon,21540
113347,69,Reims,77122
98620,63,Reims,2610
9120,27,Saint-Germain-en-Laye,78121
61640,41.95,Rennes,35350
22785,25,Toulouse,31620
98878,66,Toulouse,81430
63276,39,Rouen,76430
22106,25,Donzère (reprise uniquement),7400
135679,98,Clermont-Ferrand,43370
57112,72,Paris,77178
116607,71,Clermont-Ferrand,42132
241778,148,Toulouse,64190
98666,73,Strasbourg,88580
50829,37,Clermont-Ferrand,63780
22561,40,Lyon,69230
52992,45,Donzère (reprise uniquement),30630
63489,50,Lyon,1470
72364,46,Lille,62350
24692,25,Avignon,84210
27000,31,Poitiers,86600
104868,63,Lille,2680
50504,38,Metz,57880
176595,112,Strasbourg,70290
61403,37,Clermont-Ferrand,43360
34470,22,Annecy,73410
84263,65.833333333,Caen,61220
86552,60.583333333,Lorient,29710
73595,49.483333333,Rouen,27560
103540,91.666666667,Tours,28160
79403,47.75,Nantes,49240
99390,61,Rouen,80126
172303,102,Montpellier,66200
82518,54,Paris,60610
25982,21,Aix-en-Provence,13007
94097,60,Tours,45740
102639,83,Lyon,42380
79624,53,Lille,59495
111507,79.35,Rouen,27820
15602,17,Montpellier,34670
114438,73,Toulouse,11160
91500,62,Toulouse,82200
62990,63,Clermont-Ferrand,63640
93073,69,Toulouse,11240
90666,74,Nantes,85690
45181,42,Bordeaux,33250
11836,11,Strasbourg,67540
69237,54,Reims,2330
111623,74,Nantes,85180
15000,19,Nemours,77300
44528,42,Bordeaux,33121
251715,140,Clermont-Ferrand,87280
84620,54,Bordeaux,33430
74276,47,Clermont-Ferrand,3260
15573,33,Paris,92500
249514,139,Clermont-Ferrand,87920
81175,64,Toulouse,82220
33996,32,Avignon,30200
124898,88,Montpellier,34220
73687,51,Metz,54630
45853,61,Les Ulis,91410
52490,47,Dijon,21150
179648,98,Clermont-Ferrand,19700
92853,61,Paris,60280
79040,58,Lille,59750
4967,5,Strasbourg,67450
13186,16,Mougins,6220
23819,21,Avignon,84810
5000,3,Nemours,77140
24852,42,Paris,78330
15726,33,Paris,93500
167993,92,Dijon,25600
13156,14.316666667,Lorient,56270
38798,32,Lyon,69480
114606,70.716666667,Tours,72160
43181,33.033333333,Brest,29590
67675,48,Paris,60410
104475,78,Lyon,42560
10929,29,Saint-Germain-en-Laye,78750
19559,19,Lille,59152
