timestamp,latitude,longitude,altitude,heart_rate,power,cadence,speed,temperature,distance
2026-01-15T09:17:52.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:17:53.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:17:54.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:17:55.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:17:56.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:17:57.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:17:58.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:17:59.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:00.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:01.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:02.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:03.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:04.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:05.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:06.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:07.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:08.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:09.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:10.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:11.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:12.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:13.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:14.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:15.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:16.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:17.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:18.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:19.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:20.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:21.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:22.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:23.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:24.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:25.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:26.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:27.000Z,,,,,5,0,0,,0.014490000000000001
2026-01-15T09:18:28.000Z,,,,,12,40,0,,0.014490000000000001
2026-01-15T09:18:29.000Z,,,,,2,27,0,,0.014490000000000001
2026-01-15T09:18:30.000Z,,,,,0,13,0,,0.014490000000000001
2026-01-15T09:18:31.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:32.000Z,,,,,0,0,0,,0.014490000000000001
2026-01-15T09:18:33.000Z,,,,,8,0,0,,0.014490000000000001
2026-01-15T09:18:34.000Z,,,0.3,,16,40,30.1716,,0.01922
2026-01-15T09:18:35.000Z,,,0.3,,0,25,22.6512,,0.0207
2026-01-15T09:18:36.000Z,,,0.3,,0,10,13.3452,,0.0207
2026-01-15T09:18:37.000Z,,,0.3,,0,0,4.0392,,0.0207
2026-01-15T09:18:38.000Z,,,0.3,,0,0,0,,0.0207
2026-01-15T09:18:39.000Z,,,0.3,,0,0,0,,0.0207
2026-01-15T09:18:40.000Z,,,0.3,,0,0,0,,0.0207
2026-01-15T09:18:41.000Z,,,0.3,,7,38,3.9276,,0.02299
2026-01-15T09:18:42.000Z,,,0.3,,14,26,23.7744,,0.02484
2026-01-15T09:18:43.000Z,,,,,0,14,14.749200000000002,,0.02484
2026-01-15T09:18:44.000Z,,,,,0,2,5.724,,0.02484
2026-01-15T09:18:45.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:46.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:47.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:48.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:49.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:50.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:51.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:52.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:53.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:54.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:55.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:56.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:57.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:58.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:18:59.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:00.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:01.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:02.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:03.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:04.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:05.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:06.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:07.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:08.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:09.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:10.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:11.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:12.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:13.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:14.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:15.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:16.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:17.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:18.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:19.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:20.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:21.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:22.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:23.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:24.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:25.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:26.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:27.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:28.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:29.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:30.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:31.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:32.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:33.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:34.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:35.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:36.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:37.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:38.000Z,,,,,0,0,0,,0.02484
2026-01-15T09:19:39.000Z,,,,,10,0,0,,0.02484
2026-01-15T09:19:40.000Z,,,0.3,,51,42,24.3216,,0.027719999999999998
2026-01-15T09:19:41.000Z,,,0.3,,89,50,21.564,,0.03401
2026-01-15T09:19:42.000Z,,,0.3,,84,55,20.268,,0.039490000000000004
